,class,red,green,blue,lst,vod,ndbal,msr_re,cl_re,ndvi_re,evi,ndvi,lon,lat
151,0,114.0,101.0,92.0,28446.0,339.0,0.9465438,0.1748782,0.4238845,0.17487818,11.677018,0.21617478,29.71847422977096,-2.109665149492031
152,0,92.0,82.0,74.0,28446.0,339.0,0.79948586,0.23753977,0.62308764,0.23753977,-4.97549,0.27835456,29.7187495475132,-2.1095657873501192
153,0,105.0,90.0,81.0,28446.0,339.0,0.79948586,0.23753977,0.62308764,0.23753977,-4.97549,0.27835456,29.718719777782276,-2.1095733304447974
154,0,98.0,86.0,80.0,28446.0,339.0,0.79948586,0.23753977,0.62308764,0.23753977,-4.114365,0.23637821,29.71872568989957,-2.109547851165215
155,0,97.0,87.0,80.0,28446.0,339.0,0.88921976,0.21490595,0.54746544,0.21490593,-4.3417025,0.27749512,29.71819178900548,-2.109950293541744
156,0,101.0,89.0,79.0,28446.0,339.0,0.88921976,0.21490595,0.54746544,0.21490593,-3.9167688,0.25487852,29.718166455072467,-2.1099398506886886
157,0,95.0,86.0,75.0,28446.0,339.0,0.88921976,0.21490595,0.54746544,0.21490593,-5.3824625,0.22905914,29.718176835150754,-2.1099143644444394
158,0,81.0,66.0,64.0,28446.0,339.0,0.9437577,0.19058132,0.47090912,0.1905813,-4.348837,0.19163764,29.71811429618469,-2.109917470175847
159,0,102.0,90.0,80.0,28446.0,339.0,0.9437577,0.19058132,0.47090912,0.1905813,-3.9167688,0.25487852,29.7180965025466,-2.109960947608196
160,0,87.0,76.0,71.0,28446.0,339.0,0.803722,0.23972604,0.6306306,0.23972602,-5.497301,0.27433628,29.718680857724816,-2.1103134821844036
161,0,88.0,79.0,71.0,28446.0,339.0,0.803722,0.23972604,0.6306306,0.23972602,-5.497301,0.27433628,29.718685392483017,-2.1103524262443547
162,0,88.0,81.0,73.0,28446.0,339.0,0.803722,0.23972604,0.6306306,0.23972602,-3.725151,0.33462733,29.718683957848015,-2.1103838891603175
163,0,97.0,84.0,77.0,28446.0,339.0,0.71940386,0.262301,0.7111329,0.26230103,-5.497301,0.27433628,29.71863031313697,-2.110363009637027
164,0,85.0,75.0,66.0,28446.0,339.0,0.71940386,0.262301,0.7111329,0.26230103,-3.725151,0.33462733,29.718634866124475,-2.110412441066743
165,0,95.0,86.0,80.0,28446.0,339.0,0.71289605,0.27250218,0.7491492,0.2725022,-4.0306625,0.31479335,29.71880169853572,-2.110440612193773
166,0,99.0,90.0,81.0,28446.0,339.0,0.803722,0.23972604,0.6306306,0.23972602,-10.0505905,0.23056093,29.718804630294784,-2.110413639826142
167,0,91.0,78.0,72.0,28446.0,339.0,0.803722,0.23972604,0.6306306,0.23972602,-10.0505905,0.23056093,29.718838856672164,-2.110400096456897
168,0,99.0,88.0,77.0,28446.0,339.0,0.7373899,0.28277987,0.7885442,0.28277987,-18.095745,0.3098925,29.71885537279118,-2.1104779714627435
169,0,92.0,86.0,73.0,28446.0,339.0,0.71289605,0.27250218,0.7491492,0.2725022,-18.095745,0.3098925,29.7188375183999,-2.11048699104229
170,0,115.0,98.0,84.0,28446.0,339.0,0.7373899,0.28277987,0.7885442,0.28277987,-6.0963354,0.37832385,29.718915104093277,-2.1105737467584147
171,0,119.0,100.0,84.0,28446.0,339.0,0.7490124,0.24282478,0.6413965,0.24282478,-5.011402,0.33859783,29.71812442351876,-2.1106036033601825
172,0,119.0,107.0,94.0,28446.0,339.0,1.0125391,0.16105552,0.38394797,0.1610555,23.76923,0.17899208,29.718663301979312,-2.111967105380885
173,0,120.0,106.0,95.0,28446.0,339.0,0.95437586,0.18962277,0.46798646,0.1896228,23.76923,0.17899208,29.71869856417408,-2.11196704329943
174,0,115.0,104.0,92.0,28446.0,339.0,0.95437586,0.18962277,0.46798646,0.1896228,7.8992147,0.22183423,29.718727117509715,-2.1119449401201185
